epoch,loss,eval_loss,learning_rate,grad_norm
0.01075,37.53,,2.45e-06,250
0.0215,26.85,,4.95e-06,159
0.03224,24.08,,7.45e-06,157
0.04299,20.57,,9.95e-06,142
0.05374,17.63,,9.946e-06,132
0.05374,,2.173,,
0.06449,17.01,,9.891e-06,116
0.07524,16.61,,9.836e-06,140
0.08598,16.62,,9.781e-06,103.5
0.09673,16.2,,9.726e-06,110
0.1075,15.99,,9.672e-06,117
0.1075,,2.031,,
0.1182,16.05,,9.617e-06,127.5
0.129,16.16,,9.562e-06,111
0.1397,15.95,,9.507e-06,100
0.1505,15.93,,9.452e-06,150
0.1612,15.87,,9.397e-06,117.5
0.1612,,1.991,,
0.172,15.98,,9.342e-06,132
0.1827,15.83,,9.287e-06,104
0.1935,15.97,,9.232e-06,137
0.2042,15.64,,9.177e-06,106.5
0.215,15.56,,9.122e-06,104.5
0.215,,1.972,,
0.2257,15.46,,9.067e-06,104.5
0.2365,15.49,,9.013e-06,113
0.2472,15.49,,8.958e-06,104.5
0.258,15.71,,8.903e-06,119.5
0.2687,15.7,,8.848e-06,112
0.2687,,1.956,,
0.2794,15.64,,8.793e-06,109.5
0.2902,15.67,,8.738e-06,95
0.3009,15.55,,8.683e-06,97.5
0.3117,15.63,,8.628e-06,116.5
0.3224,15.67,,8.573e-06,128
0.3224,,1.94,,
0.3332,15.41,,8.518e-06,103
0.3439,15.33,,8.463e-06,106.5
0.3547,15.28,,8.408e-06,101
0.3654,15.37,,8.353e-06,106
0.3762,15.53,,8.299e-06,112.5
0.3762,,1.929,,
0.3869,15.35,,8.244e-06,104
0.3977,15.41,,8.189e-06,98
0.4084,15.14,,8.134e-06,121.5
0.4192,15.23,,8.079e-06,93.5
0.4299,15.49,,8.024e-06,120
0.4299,,1.919,,
0.4407,15.49,,7.969e-06,121
0.4514,15.46,,7.914e-06,148
0.4622,15.4,,7.859e-06,110
0.4729,15.26,,7.804e-06,118
0.4837,15.32,,7.749e-06,104.5
0.4837,,1.912,,
0.4944,15.35,,7.694e-06,97
0.5052,15.36,,7.639e-06,140
0.5159,15.06,,7.585e-06,96.5
0.5267,15.24,,7.53e-06,135
0.5374,15.32,,7.475e-06,97
0.5374,,1.907,,
0.5482,15.24,,7.42e-06,93.5
0.5589,15.19,,7.365e-06,96.5
0.5696,15.05,,7.31e-06,100
0.5804,15.17,,7.255e-06,115
0.5911,15,,7.2e-06,99.5
0.5911,,1.9,,
0.6019,15.04,,7.145e-06,94.5
0.6126,15.13,,7.09e-06,98.5
0.6234,15.32,,7.035e-06,100.5
0.6341,15.11,,6.98e-06,101.5
0.6449,15.11,,6.926e-06,117.5
0.6449,,1.896,,
0.6556,15,,6.871e-06,98
0.6664,15.08,,6.816e-06,136
0.6771,15.04,,6.761e-06,105.5
0.6879,14.9,,6.706e-06,94
0.6986,14.98,,6.651e-06,115.5
0.6986,,1.891,,
0.7094,14.87,,6.596e-06,109
0.7201,15.03,,6.541e-06,119
0.7309,15.17,,6.486e-06,105.5
0.7416,15.09,,6.431e-06,106
0.7524,15,,6.376e-06,92
0.7524,,1.888,,
0.7631,15.2,,6.321e-06,121.5
0.7739,15.01,,6.266e-06,94
0.7846,15.29,,6.212e-06,116
0.7954,14.92,,6.157e-06,101.5
0.8061,15.1,,6.102e-06,94
0.8061,,1.884,,
0.8169,15.12,,6.047e-06,108
0.8276,15.08,,5.992e-06,106
0.8383,14.94,,5.937e-06,101
0.8491,14.93,,5.882e-06,99
0.8598,15,,5.827e-06,97
0.8598,,1.881,,
0.8706,14.96,,5.772e-06,98.5
0.8813,15.15,,5.717e-06,112
0.8921,15.15,,5.662e-06,101
0.9028,15.05,,5.607e-06,113.5
0.9136,15,,5.553e-06,113.5
0.9136,,1.878,,
0.9243,14.88,,5.498e-06,95.5
0.9351,15.09,,5.443e-06,99
0.9458,14.89,,5.388e-06,116
0.9566,14.77,,5.333e-06,100
0.9673,15,,5.278e-06,91.5
0.9673,,1.876,,
0.9781,14.91,,5.223e-06,94.5
0.9888,15.1,,5.168e-06,96
0.9996,14.91,,5.113e-06,110.5
1.01,13.38,,5.058e-06,104
1.021,13.32,,5.003e-06,92
1.021,,1.883,,
1.032,13.45,,4.948e-06,99
1.043,13.32,,4.893e-06,92
1.053,13.46,,4.839e-06,102
1.064,13.44,,4.784e-06,104
1.075,13.39,,4.729e-06,95.5
1.075,,1.886,,
1.086,13.34,,4.674e-06,109
1.096,13.29,,4.619e-06,98
1.107,13.44,,4.564e-06,113.5
1.118,13.37,,4.509e-06,120
1.129,13.37,,4.454e-06,109.5
1.129,,1.887,,
1.139,13.33,,4.399e-06,94.5
1.15,13.41,,4.344e-06,103.5
1.161,13.32,,4.289e-06,89
1.172,13.16,,4.234e-06,92
1.182,13.23,,4.179e-06,106
1.182,,1.886,,
1.193,13.23,,4.125e-06,88
1.204,13.33,,4.07e-06,106
1.215,13.45,,4.015e-06,130
1.225,13.33,,3.96e-06,96
1.236,13.43,,3.905e-06,88.5
1.236,,1.884,,
1.247,13.42,,3.85e-06,110
1.258,13.28,,3.795e-06,119
1.268,13.4,,3.74e-06,112
1.279,13.17,,3.685e-06,94
1.29,13.47,,3.63e-06,88.5
1.29,,1.884,,
1.301,13.41,,3.575e-06,94
1.311,13.28,,3.52e-06,97
1.322,13.33,,3.466e-06,120.5
1.333,13.17,,3.411e-06,113.5
1.344,13.44,,3.356e-06,103
1.344,,1.884,,
1.354,13.43,,3.301e-06,128
1.365,13.27,,3.246e-06,105
1.376,13.25,,3.191e-06,107
1.387,13.12,,3.136e-06,115.5
1.397,13.28,,3.081e-06,125.5
1.397,,1.883,,
1.408,13.25,,3.026e-06,100
1.419,13.36,,2.971e-06,118
1.429,13.29,,2.916e-06,103.5
1.44,13.27,,2.861e-06,113
1.451,13.26,,2.806e-06,115
1.451,,1.883,,
1.462,13.32,,2.752e-06,95.5
1.472,13.2,,2.697e-06,107.5
1.483,13.22,,2.642e-06,131
1.494,13.06,,2.587e-06,104.5
1.505,13.49,,2.532e-06,87
1.505,,1.883,,
1.515,13.27,,2.477e-06,110.5
1.526,13.27,,2.422e-06,113.5
1.537,13.21,,2.367e-06,96.5
1.548,13.34,,2.312e-06,106
1.558,13.37,,2.257e-06,108.5
1.558,,1.882,,
1.569,13.26,,2.202e-06,104.5
1.58,13.41,,2.147e-06,107.5
1.591,13.46,,2.092e-06,103.5
1.601,13.06,,2.038e-06,98
1.612,13.37,,1.983e-06,111.5
1.612,,1.882,,
1.623,13.34,,1.928e-06,116
1.634,13.23,,1.873e-06,113
1.644,13.33,,1.818e-06,120
1.655,13.39,,1.763e-06,114.5
1.666,13.27,,1.708e-06,106.5
1.666,,1.882,,
1.677,13.36,,1.653e-06,100.5
1.687,13.44,,1.598e-06,114
1.698,13.28,,1.543e-06,115
1.709,13.37,,1.488e-06,92
1.72,13.47,,1.433e-06,89.5
1.72,,1.881,,
1.73,13.28,,1.379e-06,99
1.741,13.27,,1.324e-06,109.5
1.752,13.29,,1.269e-06,98
1.763,13.49,,1.214e-06,106.5
1.773,13.26,,1.159e-06,99.5
1.773,,1.881,,
1.784,13.47,,1.104e-06,92.5
1.795,13.26,,1.049e-06,108
1.806,13.35,,9.941e-07,99.5
1.816,13.51,,9.391e-07,103
1.827,13.39,,8.842e-07,110
1.827,,1.881,,
1.838,13.18,,8.293e-07,95.5
1.838,13.17,,2.45e-06,96
1.849,13.03,,7.744e-07,100.5
1.849,13.04,,4.95e-06,103.5
1.859,13.35,,7.195e-07,111
1.859,13.38,,7.45e-06,113.5
1.87,13.33,,6.645e-07,99
1.87,13.43,,9.95e-06,113
1.881,13.24,,6.096e-07,108
1.881,13.44,,9.946e-06,110.5
1.881,,1.9,,
1.892,13.56,,9.891e-06,112
1.902,13.61,,9.836e-06,101
1.913,13.86,,9.781e-06,114.5
