epoch,loss,eval_loss,learning_rate,grad_norm
0.01622,5.739,,6.533e-06,181
0.03244,3.485,,1.32e-05,53.5
0.04866,2.951,,1.987e-05,25.25
0.06489,2.547,,1.984e-05,66
0.08111,1.86,,1.967e-05,62
0.08111,,1.77,,
0.09733,1.725,,1.95e-05,26.25
0.1135,1.683,,1.934e-05,22.75
0.1298,1.67,,1.917e-05,19.25
0.146,1.655,,1.901e-05,28.75
0.1622,1.685,,1.884e-05,23.25
0.1622,,1.627,,
0.1784,1.648,,1.867e-05,20.88
0.1947,1.617,,1.851e-05,17.62
0.2109,1.6,,1.834e-05,18
0.2271,1.589,,1.817e-05,22
0.2433,1.556,,1.801e-05,12.94
0.2433,,1.574,,
0.2595,1.556,,1.784e-05,20.62
0.2758,1.564,,1.768e-05,24
0.292,1.568,,1.751e-05,17.5
0.3082,1.572,,1.734e-05,15.5
0.3244,1.561,,1.718e-05,19.5
0.3244,,1.527,,
0.3406,1.557,,1.701e-05,16.25
0.3569,1.546,,1.685e-05,14.69
0.3731,1.534,,1.668e-05,68.5
0.3893,1.497,,1.651e-05,13.81
0.4055,1.523,,1.635e-05,18.25
0.4055,,1.495,,
0.4218,1.494,,1.618e-05,15.44
0.438,1.516,,1.601e-05,15.81
0.4542,1.494,,1.585e-05,10
0.4704,1.474,,1.568e-05,18.75
0.4866,1.464,,1.552e-05,14.56
0.4866,,1.468,,
0.5029,1.478,,1.535e-05,17
0.5191,1.471,,1.518e-05,22.38
0.5353,1.452,,1.502e-05,15.62
0.5515,1.472,,1.485e-05,16.25
0.5677,1.454,,1.468e-05,15.31
0.5677,,1.448,,
0.584,1.441,,1.452e-05,10.44
0.6002,1.469,,1.435e-05,17.88
0.6164,1.446,,1.419e-05,11.69
0.6326,1.441,,1.402e-05,18.5
0.6489,1.451,,1.385e-05,15.62
0.6489,,1.427,,
0.6651,1.435,,1.369e-05,11.81
0.6813,1.407,,1.352e-05,10.75
0.6975,1.423,,1.335e-05,17.88
0.7137,1.436,,1.319e-05,22
0.73,1.438,,1.302e-05,20.25
0.73,,1.414,,
0.7462,1.428,,1.286e-05,18
0.7624,1.409,,1.269e-05,14.19
0.7786,1.436,,1.252e-05,11.25
0.7948,1.411,,1.236e-05,11.12
0.8111,1.386,,1.219e-05,19.5
0.8111,,1.401,,
0.8273,1.427,,1.202e-05,16.62
0.8435,1.429,,1.186e-05,14.38
0.8597,1.382,,1.169e-05,15.12
0.8759,1.382,,1.153e-05,14.12
0.8922,1.403,,1.136e-05,17.62
0.8922,,1.39,,
0.9084,1.367,,1.119e-05,19.38
0.9246,1.389,,1.103e-05,18.5
0.9408,1.405,,1.086e-05,16.38
0.9571,1.393,,1.069e-05,11.25
0.9733,1.414,,1.053e-05,13.44
0.9733,,1.381,,
0.9895,1.413,,1.036e-05,20.12
1.006,1.33,,1.02e-05,10.5
1.022,1.269,,1.003e-05,13.44
1.038,1.266,,9.864e-06,16.62
1.054,1.266,,9.697e-06,15.56
1.054,,1.378,,
1.07,1.264,,9.531e-06,19.38
1.087,1.276,,9.365e-06,15.5
1.103,1.293,,9.199e-06,21.75
1.119,1.292,,9.033e-06,12.12
1.135,1.284,,8.866e-06,20.62
1.135,,1.373,,
1.152,1.27,,8.7e-06,18.38
1.168,1.276,,8.534e-06,34.5
1.184,1.25,,8.368e-06,15.38
1.2,1.258,,8.201e-06,11.69
1.216,1.252,,8.035e-06,11
1.216,,1.37,,
1.233,1.272,,7.869e-06,14.31
1.249,1.251,,7.703e-06,18.38
1.265,1.286,,7.537e-06,18.88
1.281,1.246,,7.37e-06,16.38
1.297,1.271,,7.204e-06,19.75
1.297,,1.367,,
1.314,1.283,,7.038e-06,15.62
1.33,1.274,,6.872e-06,12.5
1.346,1.263,,6.705e-06,11.19
1.362,1.266,,6.539e-06,28.12
1.379,1.283,,6.373e-06,16
1.379,,1.364,,
1.395,1.273,,6.207e-06,16.75
1.411,1.229,,6.041e-06,13.56
1.427,1.267,,5.874e-06,16.12
1.443,1.292,,5.708e-06,14.06
1.46,1.277,,5.542e-06,15.44
1.46,,1.362,,
1.476,1.267,,5.376e-06,14.25
1.492,1.251,,5.209e-06,17.38
1.508,1.231,,5.043e-06,14.62
1.525,1.287,,4.877e-06,19.5
1.541,1.262,,4.711e-06,14.31
1.541,,1.361,,
1.557,1.274,,4.545e-06,19.88
1.573,1.231,,4.378e-06,19.25
1.589,1.279,,4.212e-06,15.12
1.606,1.26,,4.046e-06,15.94
1.622,1.281,,3.88e-06,19.25
1.622,,1.36,,
1.638,1.249,,3.713e-06,22.38
1.654,1.23,,3.547e-06,15
1.671,1.245,,3.381e-06,20.12
1.687,1.258,,3.215e-06,18
1.703,1.257,,3.049e-06,15.69
1.703,,1.36,,
1.719,1.248,,2.882e-06,16.62
1.735,1.285,,2.716e-06,23.38
1.752,1.272,,2.55e-06,18.88
1.768,1.27,,2.384e-06,16.25
1.784,1.232,,2.217e-06,17.5
1.784,,1.359,,
1.8,1.251,,2.051e-06,19.25
1.817,1.251,,1.885e-06,16.12
1.833,1.278,,1.719e-06,18.5
1.849,1.257,,1.553e-06,15.62
1.865,1.253,,1.386e-06,17.5
1.865,,1.359,,
1.881,1.277,,1.22e-06,18.5
1.898,1.245,,1.054e-06,22.38
1.914,1.261,,8.876e-07,12.81
1.93,1.252,,7.214e-07,15.19
1.946,1.267,,5.552e-07,19.62
1.946,,1.359,,
1.963,1.252,,3.89e-07,12.75
1.979,1.27,,2.227e-07,23.38
1.995,1.245,,5.652e-08,20.38
2,,1.359,,
