epoch,loss,eval_loss,learning_rate,grad_norm
0.01063,6.544,,4.9e-06,29.12
0.01063,6.543,,4.9e-06,29.12
0.02126,4.125,,9.9e-06,12.81
0.02126,4.106,,9.9e-06,13.44
0.03189,3.614,,1.49e-05,14.25
0.03189,3.612,,1.49e-05,14.69
0.04252,3.104,,1.492e-05,13.69
0.04252,3.127,,1.492e-05,14.75
0.05315,2.397,,1.484e-05,13.06
0.05315,,2.33,,
0.05315,2.397,,1.484e-05,14.88
0.05315,,2.331,,
0.06378,2.282,,1.476e-05,13.88
0.06378,2.283,,1.476e-05,14.25
0.07441,2.269,,1.468e-05,18.5
0.07441,2.271,,1.468e-05,15.19
0.08504,2.256,,1.46e-05,10.75
0.08504,2.258,,1.46e-05,10.56
0.09567,2.207,,1.452e-05,11.06
0.09567,2.209,,1.452e-05,11.5
0.1063,2.16,,1.443e-05,9
0.1063,,2.162,,
0.1063,2.162,,1.443e-05,9.062
0.1063,,2.163,,
0.1169,2.118,,1.435e-05,8.688
0.1169,2.119,,1.435e-05,9.062
0.1276,2.126,,1.427e-05,9
0.1276,2.125,,1.427e-05,9.375
0.1382,2.123,,1.419e-05,11
0.1382,2.122,,1.419e-05,11.06
0.1488,2.097,,1.411e-05,10.19
0.1488,2.097,,1.411e-05,10
0.1594,2.122,,1.403e-05,9.188
0.1594,,2.109,,
0.1594,2.121,,1.403e-05,9.312
0.1594,,2.109,,
0.1701,2.108,,1.395e-05,8.5
0.1701,2.107,,1.395e-05,8.875
0.1807,2.098,,1.387e-05,12.19
0.1807,2.098,,1.387e-05,12.31
0.1913,2.085,,1.379e-05,9.625
0.1913,2.083,,1.379e-05,9.875
0.202,2.074,,1.371e-05,9.438
0.202,2.072,,1.371e-05,9.312
0.2126,2.089,,1.362e-05,8.688
0.2126,,2.078,,
0.2126,2.087,,1.362e-05,8.875
0.2126,,2.078,,
0.2232,2.085,,1.354e-05,10.5
0.2232,2.085,,1.354e-05,10.06
0.2338,2.036,,1.346e-05,9.812
0.2338,2.036,,1.346e-05,9.5
0.2445,2.065,,1.338e-05,8.25
0.2445,2.065,,1.338e-05,11
0.2551,2.081,,1.33e-05,8.75
0.2551,2.081,,1.33e-05,8.75
0.2657,2.104,,1.322e-05,9.688
0.2657,,2.062,,
0.2657,2.104,,1.322e-05,9.812
0.2657,,2.062,,
0.2764,2.065,,1.314e-05,10.19
0.2764,2.064,,1.314e-05,10.12
0.287,2.053,,1.306e-05,9.188
0.287,2.052,,1.306e-05,9.125
0.2976,2.063,,1.298e-05,8.938
0.2976,2.062,,1.298e-05,8.938
0.3083,2.023,,1.29e-05,9.125
0.3083,2.022,,1.29e-05,9.438
0.3189,2.072,,1.281e-05,10.44
0.3189,,2.048,,
0.3189,2.071,,1.281e-05,10.25
0.3189,,2.048,,
0.3295,2.06,,1.273e-05,10.06
0.3295,2.059,,1.273e-05,9.625
0.3401,2.063,,1.265e-05,10.81
0.3401,2.062,,1.265e-05,11.06
0.3508,2.046,,1.257e-05,10.19
0.3508,2.046,,1.257e-05,10.12
0.3614,2.039,,1.249e-05,9.062
0.3614,2.039,,1.249e-05,9.625
0.372,2.045,,1.241e-05,9.875
0.372,,2.038,,
0.372,2.045,,1.241e-05,9.125
0.372,,2.037,,
0.3827,2.051,,1.233e-05,11.81
0.3827,2.05,,1.233e-05,11.75
0.3933,2.023,,1.225e-05,8.375
0.3933,2.022,,1.225e-05,8.625
0.4039,2.05,,1.217e-05,9.625
0.4039,2.05,,1.217e-05,9.562
0.4146,2.047,,1.209e-05,8.688
0.4146,2.046,,1.209e-05,8.812
0.4252,2.041,,1.2e-05,9.25
0.4252,,2.029,,
0.4252,2.04,,1.2e-05,9.562
0.4252,,2.029,,
0.4358,2.034,,1.192e-05,9.312
0.4358,2.034,,1.192e-05,9.375
0.4464,2.07,,1.184e-05,7.906
0.4464,2.07,,1.184e-05,7.906
0.4571,2.028,,1.176e-05,10.44
0.4571,2.028,,1.176e-05,10.81
0.4677,2.014,,1.168e-05,9.25
0.4677,2.013,,1.168e-05,9.125
0.4783,2.01,,1.16e-05,9
0.4783,,2.023,,
0.4783,2.009,,1.16e-05,9.875
0.4783,,2.022,,
0.489,2.042,,1.152e-05,9.312
0.489,2.041,,1.152e-05,9.875
0.4996,1.995,,1.144e-05,11.06
0.4996,1.995,,1.144e-05,11.69
0.5102,2.026,,1.136e-05,8.688
0.5102,2.026,,1.136e-05,8.562
0.5208,2.025,,1.128e-05,8.312
0.5208,2.024,,1.128e-05,8.188
0.5315,2.038,,1.119e-05,12.94
0.5315,,2.018,,
0.5315,2.038,,1.119e-05,12.38
0.5315,,2.017,,
0.5421,2.009,,1.111e-05,9.562
0.5421,2.009,,1.111e-05,9.438
0.5527,2.051,,1.103e-05,10.94
0.5527,2.051,,1.103e-05,11.31
0.5634,2.022,,1.095e-05,10
0.5634,2.022,,1.095e-05,9.625
0.574,2,,1.087e-05,8.375
0.574,1.999,,1.087e-05,8.5
0.5846,2.009,,1.079e-05,7.844
0.5846,,2.012,,
0.5846,2.008,,1.079e-05,8.062
0.5846,,2.011,,
0.5953,2.002,,1.071e-05,9.125
0.5953,2.001,,1.071e-05,9
0.6059,2.017,,1.063e-05,9.312
0.6059,2.017,,1.063e-05,9.188
0.6165,1.989,,1.055e-05,10.38
0.6165,1.988,,1.055e-05,10.06
0.6271,1.983,,1.047e-05,9.375
0.6271,1.982,,1.047e-05,9.062
0.6378,1.968,,1.038e-05,8.688
0.6378,,2.008,,
0.6378,1.968,,1.038e-05,8.75
0.6378,,2.007,,
0.6484,2.003,,1.03e-05,7.844
0.6484,2.004,,1.03e-05,7.875
0.659,2.001,,1.022e-05,8.062
0.659,2,,1.022e-05,8.125
0.6697,1.993,,1.014e-05,11.75
0.6697,1.992,,1.014e-05,12.06
0.6803,2.01,,1.006e-05,9.125
0.6803,2.009,,1.006e-05,9.125
0.6909,2.008,,9.979e-06,8.562
0.6909,,2.004,,
0.6909,2.008,,9.979e-06,8.5
0.6909,,2.003,,
0.7015,2.003,,9.898e-06,9.812
0.7015,2.003,,9.898e-06,9.562
0.7122,1.989,,9.817e-06,11
0.7122,1.988,,9.817e-06,10
0.7228,1.993,,9.736e-06,8.438
0.7228,1.992,,9.736e-06,8.5
0.7334,2,,9.655e-06,8.062
0.7334,2,,9.655e-06,7.938
0.7441,2.021,,9.574e-06,11.44
0.7441,,2,,
0.7441,2.02,,9.574e-06,11.38
0.7441,,1.999,,
0.7547,1.984,,9.493e-06,8.75
0.7547,1.981,,9.493e-06,9.25
0.7653,2.012,,9.412e-06,11.19
0.7653,2.011,,9.412e-06,11.31
0.776,1.998,,9.331e-06,8.375
0.776,1.998,,9.331e-06,8.625
0.7866,1.977,,9.25e-06,9.625
0.7866,1.977,,9.25e-06,9.062
0.7972,1.999,,9.169e-06,7.906
0.7972,,1.997,,
0.7972,1.999,,9.169e-06,8.188
0.7972,,1.997,,
