epoch,loss,eval_loss,learning_rate,grad_norm
0.01075,6.083,,4.9e-06,25.12
0.01075,6.083,,4.9e-06,25.5
0.01075,6.083,,4.9e-06,25.38
0.01075,6.084,,4.9e-06,25.25
0.01075,6.083,,4.9e-06,25
0.01075,6.083,,4.9e-06,25.25
0.01075,6.082,,4.9e-06,25.25
0.01075,6.083,,4.9e-06,25.12
0.01075,6.082,,4.9e-06,25.25
0.0215,3.767,,9.9e-06,18.5
0.0215,3.769,,9.9e-06,13
0.0215,3.764,,9.9e-06,12.31
0.0215,3.77,,9.9e-06,14.12
0.0215,3.765,,9.9e-06,12.19
0.0215,3.769,,9.9e-06,15.31
0.0215,3.769,,9.9e-06,17
0.0215,3.77,,9.9e-06,18.25
0.0215,3.766,,9.9e-06,18.12
0.03224,3.455,,1.49e-05,15.62
0.03224,3.446,,1.49e-05,15.44
0.03224,3.441,,1.49e-05,13.88
0.03224,3.449,,1.49e-05,14.25
0.03224,3.44,,1.49e-05,14.12
0.03224,3.45,,1.49e-05,14.88
0.03224,3.454,,1.49e-05,13.88
0.03224,3.456,,1.49e-05,15
0.03224,3.45,,1.49e-05,14.94
0.04299,3.17,,1.492e-05,15.75
0.04299,3.162,,1.492e-05,15.88
0.04299,3.163,,1.492e-05,15.81
0.04299,3.162,,1.492e-05,15.56
0.04299,3.128,,1.492e-05,16.62
0.04299,3.154,,1.492e-05,15.81
0.04299,3.147,,1.492e-05,15.31
0.04299,3.179,,1.492e-05,15.62
0.04299,3.171,,1.492e-05,16.12
0.05374,2.427,,1.484e-05,13.31
0.05374,2.423,,1.484e-05,13.38
0.05374,,2.354,,
0.05374,2.424,,1.484e-05,13
0.05374,,2.356,,
0.05374,2.423,,1.484e-05,13.44
0.05374,,2.356,,
0.05374,2.411,,1.484e-05,13.31
0.05374,,2.357,,
0.05374,2.42,,1.484e-05,13.62
0.05374,,2.356,,
0.05374,2.414,,1.484e-05,13
0.05374,,2.351,,
0.05374,2.434,,1.484e-05,13.5
0.05374,2.427,,1.484e-05,12.94
0.05374,,2.354,,
0.06449,2.306,,1.476e-05,10.62
0.06449,2.307,,1.476e-05,10.62
0.07524,2.249,,1.467e-05,15
0.07524,2.249,,1.467e-05,14.94
0.08598,2.251,,1.459e-05,9.875
0.08598,2.251,,1.459e-05,9.375
0.09673,2.198,,1.451e-05,10.94
0.09673,2.199,,1.451e-05,11
0.1075,2.169,,1.443e-05,21.62
0.1075,,2.182,,
0.1075,2.169,,1.443e-05,15.19
0.1075,,2.179,,
0.1182,2.157,,1.435e-05,12.75
0.129,2.152,,1.426e-05,11.94
0.1397,2.131,,1.418e-05,8.625
0.1505,2.137,,1.41e-05,11.94
0.1612,2.134,,1.402e-05,12.19
0.1612,,2.113,,
0.172,2.129,,1.394e-05,10.25
0.1827,2.11,,1.385e-05,8.688
0.1935,2.13,,1.377e-05,10.56
0.2042,2.097,,1.369e-05,9.75
0.215,2.074,,1.361e-05,10.44
0.215,,2.088,,
0.2257,2.066,,1.353e-05,9.75
0.2365,2.069,,1.344e-05,8.5
0.2472,2.056,,1.336e-05,9.312
0.258,2.087,,1.328e-05,10.62
0.2687,2.089,,1.32e-05,10.25
0.2687,,2.071,,
0.2794,2.087,,1.312e-05,10.81
0.2902,2.071,,1.304e-05,8.312
0.3009,2.072,,1.295e-05,8.812
0.3117,2.071,,1.287e-05,11.25
0.3224,2.088,,1.279e-05,15.06
0.3224,,2.059,,
0.3332,2.05,,1.271e-05,9.188
0.3439,2.034,,1.263e-05,8.375
0.3547,2.047,,1.254e-05,9.25
0.3654,2.042,,1.246e-05,9.312
0.3762,2.064,,1.238e-05,9.438
0.3762,,2.048,,
0.3869,2.051,,1.23e-05,10
0.3977,2.048,,1.222e-05,8.688
0.4084,2.035,,1.213e-05,9.75
0.4192,2.038,,1.205e-05,8.5
0.4299,2.057,,1.197e-05,9.938
0.4299,,2.04,,
0.4407,2.086,,1.189e-05,8.062
0.4514,2.052,,1.181e-05,8.312
0.4622,2.06,,1.172e-05,10
0.4729,2.041,,1.164e-05,8.625
0.4837,2.045,,1.156e-05,8.562
0.4837,,2.033,,
0.4944,2.043,,1.148e-05,9.062
0.5052,2.044,,1.14e-05,7.906
0.5159,2.004,,1.131e-05,9.125
0.5267,2.045,,1.123e-05,8.188
0.5374,2.034,,1.115e-05,8.938
0.5374,,2.028,,
0.5482,2.015,,1.107e-05,8.375
0.5589,2.033,,1.099e-05,8.688
0.5696,2.016,,1.091e-05,8.438
